year,variable,value,date
2015,week_1,0,04/01/2015
2015,week_2,0,11/01/2015
2015,week_3,2,18/01/2015
2015,week_4,0,25/01/2015
2015,week_5,0,01/02/2015
2015,week_6,0,08/02/2015
2015,week_7,0,15/02/2015
2015,week_8,0,22/02/2015
2015,week_9,0,01/03/2015
2015,week_10,0,08/03/2015
2015,week_11,0,15/03/2015
2015,week_12,0,22/03/2015
2015,week_13,0,29/03/2015
2015,week_14,0,05/04/2015
2015,week_15,0,12/04/2015
2015,week_16,0,19/04/2015
2015,week_17,0,26/04/2015
2015,week_18,0,03/05/2015
2015,week_19,0,10/05/2015
2015,week_20,0,17/05/2015
2015,week_21,0,24/05/2015
2015,week_22,0,31/05/2015
2015,week_23,0,07/06/2015
2015,week_24,0,14/06/2015
2015,week_25,0,21/06/2015
2015,week_26,0,28/06/2015
2015,week_27,0,05/07/2015
2015,week_28,0,12/07/2015
2015,week_29,0,19/07/2015
2015,week_30,1,26/07/2015
2015,week_31,0,02/08/2015
2015,week_32,1,09/08/2015
2015,week_33,0,16/08/2015
2015,week_34,0,23/08/2015
2015,week_35,0,30/08/2015
2015,week_36,1,06/09/2015
2015,week_37,0,13/09/2015
2015,week_38,0,20/09/2015
2015,week_39,0,27/09/2015
2015,week_40,0,04/10/2015
2015,week_41,0,11/10/2015
2015,week_42,0,18/10/2015
2015,week_43,0,25/10/2015
2015,week_44,4,01/11/2015
2015,week_45,4,08/11/2015
2015,week_46,0,15/11/2015
2015,week_47,2,22/11/2015
2015,week_48,0,29/11/2015
2015,week_49,1,06/12/2015
2015,week_50,0,13/12/2015
2015,week_51,1,20/12/2015
2015,week_52,0,27/12/2015
2016,week_1,25,03/01/2016
2016,week_2,41,10/01/2016
2016,week_3,44,17/01/2016
2016,week_4,54,24/01/2016
2016,week_5,78,31/01/2016
2016,week_6,68,07/02/2016
2016,week_7,101,14/02/2016
2016,week_8,99,21/02/2016
2016,week_9,202,28/02/2016
2016,week_10,210,06/03/2016
2016,week_11,287,13/03/2016
2016,week_12,520,20/03/2016
2016,week_13,1046,27/03/2016
2016,week_14,1254,03/04/2016
2016,week_15,1470,10/04/2016
