"T","H","year","month","day","date","R"
26.6030003725312,69.9120175581067,"2014","01","01","2014-01-01",0
26.0995479810791,73.151893455224,"2014","01","02","2014-01-02",0
25.7259926819296,67.3370978469816,"2014","01","03","2014-01-03",0
25.5102311283988,69.2344445139226,"2014","01","04","2014-01-04",0
24.1391412522108,72.9939228324899,"2014","01","05","2014-01-05",0
23.9782303654407,75.4027724495561,"2014","01","06","2014-01-06",0
22.67685597484,68.2136197666731,"2014","01","07","2014-01-07",0
23.5058293311934,68.8093375897125,"2014","01","08","2014-01-08",0
24.467965297571,71.714932617489,"2014","01","09","2014-01-09",0
24.3266793564745,74.6438148782085,"2014","01","10","2014-01-10",0
24.96916953908,70.5200440516342,"2014","01","11","2014-01-11",0
25.0793411917087,69.2843602014665,"2014","01","12","2014-01-12",0
24.566667465196,72.7240780960035,"2014","01","13","2014-01-13",0
24.7132778520461,72.1761827679889,"2014","01","14","2014-01-14",0
24.9395470941948,67.3799344493917,"2014","01","15","2014-01-15",0
24.7877818594425,67.1738389256317,"2014","01","16","2014-01-16",0
23.4711405437621,77.2577154637866,"2014","01","17","2014-01-17",0
22.9618352459889,83.7748517119029,"2014","01","18","2014-01-18",0
23.2102059234766,75.2652022822698,"2014","01","19","2014-01-19",0
24.0478139879802,73.2025738087029,"2014","01","20","2014-01-20",0
24.5217290625783,75.2753700804523,"2014","01","21","2014-01-21",0
25.6270356432958,71.2862680174051,"2014","01","22","2014-01-22",0
25.6273704404526,69.9586093285255,"2014","01","23","2014-01-23",0
24.9639636311515,71.4174250523597,"2014","01","24","2014-01-24",0
24.5677124181491,70.7856625459455,"2014","01","25","2014-01-25",0
24.7183507009984,73.2115105707024,"2014","01","26","2014-01-26",0
24.7816709642078,69.4095445610765,"2014","01","27","2014-01-27",0
24.3790523391148,68.4464958489981,"2014","01","28","2014-01-28",0
23.7794862263345,69.0770821214101,"2014","01","29","2014-01-29",0
24.2753594411191,73.3739302253011,"2014","01","30","2014-01-30",0
24.1067286744765,65.200685164718,"2014","01","31","2014-01-31",0
24.8637258114158,68.182148945811,"2014","02","01","2014-02-01",0
25.1636636429938,70.0862043330673,"2014","02","02","2014-02-02",0
25.1522322058158,70.1813408732126,"2014","02","03","2014-02-03",0
25.3135466126515,69.3706542335974,"2014","02","04","2014-02-04",0
24.49647007265,69.5082793461397,"2014","02","05","2014-02-05",0
24.2920095978908,65.7798984281999,"2014","02","06","2014-02-06",0
24.7972080379663,67.543236026082,"2014","02","07","2014-02-07",0
24.4700617976264,61.250364109756,"2014","02","08","2014-02-08",0
24.2973471219858,63.4044161631964,"2014","02","09","2014-02-09",0
24.5748067611471,64.477849611652,"2014","02","10","2014-02-10",0
23.3750700669161,66.2375223450111,"2014","02","11","2014-02-11",0
23.889257684233,63.2542249242274,"2014","02","12","2014-02-12",0
24.3514259082916,62.7296367486797,"2014","02","13","2014-02-13",0
24.501329054656,63.5648205471694,"2014","02","14","2014-02-14",0
23.5186043332191,75.2217777562289,"2014","02","15","2014-02-15",0
23.7067746433214,78.1642254415738,"2014","02","16","2014-02-16",0
23.1076710124745,83.4940923759812,"2014","02","17","2014-02-17",0
22.2893814819416,82.3107423286868,"2014","02","18","2014-02-18",0
22.2129917414914,80.4168167605092,"2014","02","19","2014-02-19",0
22.7060934545677,71.4501712818567,"2014","02","20","2014-02-20",0
23.821988531901,69.6333506361209,"2014","02","21","2014-02-21",0
23.6632182928702,65.8314238690357,"2014","02","22","2014-02-22",0
24.5918590068513,71.8907378384444,"2014","02","23","2014-02-23",0
24.4617658377621,66.1024615735077,"2014","02","24","2014-02-24",0
24.3091758971884,67.5219405194782,"2014","02","25","2014-02-25",0
24.4018676647467,69.3325939904094,"2014","02","26","2014-02-26",0
24.8564336883727,64.4079917334863,"2014","02","27","2014-02-27",0
24.5042731442871,62.2467131192685,"2014","02","28","2014-02-28",0
24.1346734388386,68.9505175099548,"2014","03","01","2014-03-01",0
23.7729792025155,79.2497415452399,"2014","03","02","2014-03-02",0
23.7254423267454,79.1450758211679,"2014","03","03","2014-03-03",0
23.2597779111862,77.0445812373285,"2014","03","04","2014-03-04",0
