"","Date","d2m","t2m","tp","RH"
"layer.1",2014-01-01,23.5657009739234,29.640299771139,0.000170444068723828,69.9120175581067
"layer.2",2014-01-02,23.4564701961875,28.7426257659708,0.00630643054278123,73.151893455224
"layer.3",2014-01-03,22.3921412138848,29.0598441499744,0,67.3370978469816
"layer.4",2014-01-04,22.415544322877,28.6049179339207,0.0143173017728007,69.2344445139226
"layer.5",2014-01-05,21.5164159102534,26.7618665941682,0.0347086103583046,72.9939228324899
"layer.6",2014-01-06,21.6288008609166,26.3276598699647,0.110370281956341,75.4027724495561
"layer.7",2014-01-07,19.5247478855098,25.8289640641701,0.00143069718292411,68.2136197666731
"layer.8",2014-01-08,20.4061043334582,26.6055543289287,0.0118277853750769,68.8093375897125
"layer.9",2014-01-09,21.6911705124355,27.2447600827065,0.0227000509709447,71.714932617489
"layer.10",2014-01-10,21.8867231330103,26.7666355799387,0.0295229786916769,74.6438148782085
"layer.11",2014-01-11,22.0411372854062,27.8972017927539,0.0370173527437454,70.5200440516342
"layer.12",2014-01-12,22.0006211105322,28.1580612728853,0.00753569382630446,69.2843602014665
"layer.13",2014-01-13,21.9045927123215,27.2287422180706,0.0643865382033669,72.7240780960035
"layer.14",2014-01-14,21.985021071509,27.4415346325832,0.00143069718292414,72.1761827679889
"layer.15",2014-01-15,21.6305030161326,28.2485911722569,0,67.3799344493917
"layer.16",2014-01-16,21.4568465786061,28.1187171402789,0.00256699097441628,67.1738389256317
"layer.17",2014-01-17,21.3320706700798,25.6102104174444,0.0371103222357765,77.2577154637866
"layer.18",2014-01-18,21.49971160566,24.4239588863178,0.362482884457764,83.7748517119029
"layer.19",2014-01-19,20.8591643639234,25.5612474830298,0.0893333518983982,75.2652022822698
"layer.20",2014-01-20,21.4506419483024,26.6449860276581,0.0681363077152907,73.2025738087029
"layer.21",2014-01-21,22.1485987978638,26.8948593272928,0.0719738817474665,75.2753700804523
"layer.22",2014-01-22,22.7756325134227,28.478438773169,0.024203057758782,71.2862680174051
"layer.23",2014-01-23,22.6176188213225,28.6371220595826,0.0471613573187023,69.9586093285255
"layer.24",2014-01-24,22.1420220117602,27.7859052505427,0.0919674875059481,71.4174250523597
"layer.25",2014-01-25,21.6798594164836,27.4555654198147,0.000976179666327279,70.7856625459455
"layer.26",2014-01-26,22.1091441821568,27.3275572198401,0.034925539173044,73.2115105707024
"layer.27",2014-01-27,21.7248902682748,27.8384516601408,0.0231442385439826,69.4095445610765
"layer.28",2014-01-28,21.2148720976765,27.543232580553,0.00268062035356548,68.4464958489981
"layer.29",2014-01-29,20.7056531469109,26.8533193057582,0.000764415823367405,69.0770821214101
"layer.30",2014-01-30,21.693257025281,26.8574618569571,0.0220699244138445,73.3739302253011
"layer.31",2014-01-31,20.544473080054,27.6689842688989,0.00200917402222926,65.200685164718
"layer.32",2014-02-01,21.6556631885736,28.0717884342579,0.00527343618687932,68.182148945811
"layer.33",2014-02-02,22.1795853438938,28.1477419420938,0.00300084860389507,70.0862043330673
