name	state	region	date
010|Brazil|RJ|Duque-de-Caxias|2017-07-26	RJ	RJ	2017-07-26
053|Brazil|RJ|Duque-de-Caxias|2018-03-01	RJ	RJ	2018-03-01
057|Brazil|RJ|Duque-de-Caxias|2018-03-08	RJ	RJ	2018-03-08
066|Brazil|RJ|Duque-de-Caxias|2018-03-15	RJ	RJ	2018-03-15
079|Brazil|RJ|Duque-de-Caxias|2018-03-22	RJ	RJ	2018-03-22
083|Brazil|RJ|Duque-de-Caxias|2018-03-27	RJ	RJ	2018-03-27
089|Brazil|RJ|Duque-de-Caxias|2018-03-29	RJ	RJ	2018-03-29
092|Brazil|RJ|Duque-de-Caxias|2018-03-29	RJ	RJ	2018-03-29
097|Brazil|RJ|Duque-de-Caxias|2018-04-02	RJ	RJ	2018-04-02
099|Brazil|RJ|Duque-de-Caxias|2018-04-02	RJ	RJ	2018-04-02
101|Brazil|RJ|Duque-de-Caxias|2018-04-02	RJ	RJ	2018-04-02
114|Brazil|RJ|Duque-de-Caxias|2018-04-05	RJ	RJ	2018-04-05
116|Brazil|RJ|Duque-de-Caxias|2018-04-05	RJ	RJ	2018-04-05
117|Brazil|RJ|Duque-de-Caxias|2018-04-05	RJ	RJ	2018-04-05
120|Brazil|RJ|Duque-de-Caxias|2018-04-16	RJ	RJ	2018-04-16
126|Brazil|RJ|Duque-de-Caxias|2018-04-17	RJ	RJ	2018-04-17
128|Brazil|RJ|Duque-de-Caxias|2018-04-19	RJ	RJ	2018-04-19
130|Brazil|RJ|Duque-de-Caxias|2018-04-19	RJ	RJ	2018-04-19
134|Brazil|RJ|Duque-de-Caxias|2018-04-19	RJ	RJ	2018-04-19
143|Brazil|RJ|Duque-de-Caxias|2018-04-30	RJ	RJ	2018-04-30
149|Brazil|RJ|Duque-de-Caxias|2018-04-30	RJ	RJ	2018-04-30
152|Brazil|RJ|Duque-de-Caxias|2018-05-03	RJ	RJ	2018-05-03
155|Brazil|RJ|Duque-de-Caxias|2018-05-03	RJ	RJ	2018-05-03
157|Brazil|RJ|Duque-de-Caxias|2018-05-07	RJ	RJ	2018-05-07
159|Brazil|RJ|Duque-de-Caxias|2018-05-07	RJ	RJ	2018-05-07
161|Brazil|RJ|Duque-de-Caxias|2018-05-07	RJ	RJ	2018-05-07
165|Brazil|RJ|Duque-de-Caxias|2018-05-09	RJ	RJ	2018-05-09
166|Brazil|RJ|Duque-de-Caxias|2018-05-09	RJ	RJ	2018-05-09
170|Brazil|RJ|Duque-de-Caxias|2018-05-14	RJ	RJ	2018-05-14
174|Brazil|RJ|Duque-de-Caxias|2018-05-17	RJ	RJ	2018-05-17
181|Brazil|RJ|Duque-de-Caxias|2018-05-23	RJ	RJ	2018-05-23
OM128440|Brazil|RJ|2018-03-20	RJ	RJ	2018-03-20
