#node	date	numeric date
NODE_0000004	2014-08-02	2014.583690
KP164568|Brazil|BA|Feira-de-Santana|2014-08-26	2014-08-26	2014.650685
NODE_0000102	2014-08-02	2014.583690
KP164569|Brazil|BA|Feira-de-Santana|2014-08-28	2014-08-28	2014.656164
NODE_0000010	2014-08-02	2014.583690
NODE_0000106	2015-01-17	2015.045167
NODE_0000113	2015-03-18	2015.209548
MK121893|Brazil|AM|Manaus|2015-07-15	2015-07-15	2015.535616
NODE_0000114	2015-09-07	2015.683204
MK993755|Brazil|RN|Natal|2016-01-14	2016-01-14	2016.036885
NODE_0000018	2016-01-13	2016.034153
MK993756|Brazil|RN|Natal|2016-01-14	2016-01-14	2016.036885
MK993757|Brazil|RN|Natal|2016-01-13	2016-01-13	2016.034153
NODE_0000019	2015-03-10	2015.187050
NODE_0000112	2015-07-15	2015.535616
MK752954|Brazil|BA|Itamaraju|2017-06-22	2017-06-22	2017.472603
MK121892|Brazil|AM|Manaus|2015-07-15	2015-07-15	2015.535616
NODE_0000021	2015-08-09	2015.605081
MN783353|Brazil|BA|Feira_de_Santana|2016-10-13	2016-10-13	2016.782787
NODE_0000024	2015-08-09	2015.605081
MK752951|Brazil|BA|Itamaraju|2017-07-27	2017-07-27	2017.568493
NODE_0000108	2016-04-29	2016.327807
MT877208|Brazil|CE|2017-03-22	2017-03-22	2017.220548
NODE_0000109	2017-03-13	2017.195524
MT877211|Brazil|CE|2017-06-03	2017-06-03	2017.420548
MT877209|Brazil|CE|2017-04-16	2017-04-16	2017.289041
NODE_0000028	2014-08-02	2014.583690
NODE_0000032	2014-09-03	2014.672603
KP164570|Brazil|BA|Feira-de-Santana|2014-09-03	2014-09-03	2014.672603
NODE_0000116	2014-11-19	2014.884013
NODE_0000117	2015-06-25	2015.480561
MK121894|Brazil|AM|Manaus|2016-01-31	2016-01-31	2016.083333
NODE_0000118	2015-10-24	2015.811897
MH000704|Brazil|PE|2016-02-19	2016-02-19	2016.135246
NODE_0000119	2015-11-18	2015.879890
NODE_0000123	2015-12-05	2015.928711
MH000703|Brazil|PE|Recife|2016-02-15	2016-02-15	2016.124317
MH000702|Brazil|PE|Caruaru|2016-02-15	2016-02-15	2016.124317
NODE_0000038	2015-12-16	2015.958572
MH000706|Brazil|PE|Recife|2016-02-18	2016-02-18	2016.132514
NODE_0000041	2015-12-23	2015.977595
MH000705|Brazil|PE|Recife|2016-02-25	2016-02-25	2016.151639
NODE_0000044	2016-02-04	2016.094262
KX228391|Brazil|PE|2016-03-03	2016-03-03	2016.170765
MH000700|Brazil|PE|Recife|2016-02-04	2016-02-04	2016.094262
NODE_0000124	2015-02-28	2015.159852
MN783352|Brazil|BA|Feira_de_Santana|2016-04-01	2016-04-01	2016.250000
NODE_0000125	2015-09-09	2015.690351
KY704955|Brazil|PB|Joao-Pessoa|2016-06-17	2016-06-17	2016.460383
NODE_0000128	2016-09-18	2016.713661
MT877206|Brazil|CE|2017-03-30	2017-03-30	2017.242466
MT877210|Brazil|CE|2017-04-14	2017-04-14	2017.283562
MT877207|Brazil|CE|2017-03-19	2017-03-19	2017.212329
NODE_0000130	2015-11-25	2015.901070
KY704954|Brazil|PB|Joao-Pessoa|2016-06-20	2016-06-20	2016.468579
NODE_0000131	2017-07-16	2017.537804
MK244642|Brazil|RJ|Sao-Joao-de-Meriti|2018-02-18	2018-02-18	2018.132877
NODE_0000132	2017-11-05	2017.846436
170|Brazil|RJ|Duque-de-Caxias|2018-05-14	2018-05-14	2018.365753
NODE_0000133	2018-02-03	2018.091302
079|Brazil|RJ|Duque-de-Caxias|2018-03-22	2018-03-22	2018.220548
114|Brazil|RJ|Duque-de-Caxias|2018-04-05	2018-04-05	2018.258904
NODE_0000134	2016-05-31	2016.412726
NODE_0000135	2016-07-28	2016.572722
MK121901|Brazil|RR|Boa_Vista|2017-03-17	2017-03-17	2017.206849
NODE_0000136	2016-08-29	2016.659655
MK121896|Brazil|RR|Boa_Vista|2017-03-03	2017-03-03	2017.168493
MK121902|Brazil|RR|Boa_Vista|2017-03-17	2017-03-17	2017.206849
MK121900|Brazil|RR|Iracema|2017-03-17	2017-03-17	2017.206849
NODE_0000138	2016-09-14	2016.702629
MK121903|Brazil|RR|Boa_Vista|2017-03-15	2017-03-15	2017.201370
NODE_0000139	2017-02-04	2017.095553
MK121907|Brazil|RR|Boa_Vista|2017-02-27	2017-02-27	2017.157534
MK121906|Brazil|RR|Boa_Vista|2017-02-27	2017-02-27	2017.157534
NODE_0000061	2016-09-22	2016.724385
NODE_0000062	2016-12-10	2016.940469
MK121897|Brazil|RR|Bonfim|2017-02-20	2017-02-20	2017.138356
MK121899|Brazil|RR|Boa_Vista|2017-03-17	2017-03-17	2017.206849
NODE_0000143	2016-11-28	2016.909509
MK121905|Brazil|RR|Boa_Vista|2017-03-02	2017-03-02	2017.165753
NODE_0000144	2016-11-28	2016.909509
MK121908|Brazil|RR|Boa_Vista|2017-03-05	2017-03-05	2017.173973
NODE_0000065	2017-02-22	2017.143836
MK121898|Brazil|RR|Boa_Vista|2017-02-22	2017-02-22	2017.143836
MK121904|Brazil|RR|Boa_Vista|2017-03-02	2017-03-02	2017.165753
NODE_0000074	2014-10-06	2014.762489
NODE_0000075	2015-03-21	2015.218813
NODE_0000068	2015-07-07	2015.514504
MT349960|Brazil|MT|Sinop|2018-02-07	2018-02-07	2018.102740
NODE_0000072	2015-07-11	2015.525872
MK752956|Brazil|BA|Ipecaeta|2017-08-30	2017-08-30	2017.661644
NODE_0000076	2015-07-15	2015.535616
KU940226|Brazil|BA|2015-08-01	2015-08-01	2015.582192
KU940225|Brazil|BA|2015-07-15	2015-07-15	2015.535616
NODE_0000079	2015-04-26	2015.317636
MT526900|Brazil|PA|2017-01-24	2017-01-24	2017.064384
NODE_0000080	2016-06-04	2016.424391
NODE_0000081	2017-02-02	2017.089749
MH823666|Brazil|MT|Cuiaba|2017-03-01	2017-03-01	2017.163014
MH823664|Brazil|MT|Cuiaba|2017-03-16	2017-03-16	2017.204110
NODE_0000082	2016-10-13	2016.782230
MH823668|Brazil|MT|Cuiaba|2017-01-05	2017-01-05	2017.012329
MH823665|Brazil|MT|Cuiaba|2017-03-16	2017-03-16	2017.204110
NODE_0000083	2017-01-05	2017.012329
MH823663|Brazil|MT|Cuiaba|2017-01-05	2017-01-05	2017.012329
MH823667|Brazil|MT|Cuiaba|2017-03-01	2017-03-01	2017.163014
NODE_0000086	2016-02-21	2016.139720
MK518395|Brazil|MA|2017-03-16	2017-03-16	2017.204110
MK121895|Brazil|AM|Manaus|2017-03-20	2017-03-20	2017.215068
NODE_0000088	2016-11-01	2016.834560
MT526903|Brazil|PA|2017-01-26	2017-01-26	2017.069863
NODE_0000089	2016-12-01	2016.918019
MT526902|Brazil|PA|2017-01-25	2017-01-25	2017.067123
NODE_0000090	2017-01-03	2017.007196
MT526904|Brazil|PA|2017-01-26	2017-01-26	2017.069863
MT526901|Brazil|PA|2017-01-25	2017-01-25	2017.067123
NODE_0000092	2015-08-05	2015.592075
KY704942|Brazil|AL|Maceio|2016-04-16	2016-04-16	2016.290984
NODE_0000093	2015-09-06	2015.679732
KY704953|Brazil|AL|Maceio|2016-04-09	2016-04-09	2016.271858
NODE_0000095	2015-10-13	2015.781395
KY704952|Brazil|AL|Maceio|2016-04-07	2016-04-07	2016.266393
KY704949|Brazil|AL|Maceio|2016-04-07	2016-04-07	2016.266393
NODE_0000091	2016-04-17	2016.293716
KY704939|Brazil|AL|Maceio|2016-04-17	2016-04-17	2016.293716
KY704944|Brazil|AL|Maceio|2016-04-19	2016-04-19	2016.299180
NODE_0000098	2015-11-09	2015.855865
KY704943|Brazil|AL|Maceio|2016-04-19	2016-04-19	2016.299180
KY704938|Brazil|AL|Maceio|2016-04-19	2016-04-19	2016.299180
NODE_0000100	2016-01-08	2016.020873
KY704933|Brazil|AL|Maceio|2016-03-30	2016-03-30	2016.244536
KY704947|Brazil|AL|Maceio|2016-04-15	2016-04-15	2016.288251
KY704935|Brazil|AL|Maceio|2016-04-01	2016-04-01	2016.250000
NODE_0000073	2015-03-11	2015.191641
KY055011|Brazil|SE|Aracaju|2016-02-20	2016-02-20	2016.137978
NODE_0000060	2015-06-23	2015.476557
MK244635|Brazil|RJ|2016-02-19	2016-02-19	2016.135246
KY124328|Brazil|RJ|2016-03-16	2016-03-16	2016.206284
OM128439|Brazil|RJ|2016-04-06	2016-04-06	2016.263661
OM128438|Brazil|RJ|2016-04-29	2016-04-29	2016.326503
126|Brazil|RJ|Duque-de-Caxias|2018-04-17	2018-04-17	2018.291781
KY124329|Brazil|RJ|2016-03-16	2016-03-16	2016.206284
NODE_0000066	2017-03-12	2017.192557
053|Brazil|RJ|Duque-de-Caxias|2018-03-01	2018-03-01	2018.163014
NODE_0000067	2017-06-20	2017.466359
181|Brazil|RJ|Duque-de-Caxias|2018-05-23	2018-05-23	2018.390411
NODE_0000069	2017-12-21	2017.970987
152|Brazil|RJ|Duque-de-Caxias|2018-05-03	2018-05-03	2018.335616
165|Brazil|RJ|Duque-de-Caxias|2018-05-09	2018-05-09	2018.352055
NODE_0000070	2017-08-06	2017.595078
161|Brazil|RJ|Duque-de-Caxias|2018-05-07	2018-05-07	2018.346575
NODE_0000071	2018-01-27	2018.072338
089|Brazil|RJ|Duque-de-Caxias|2018-03-29	2018-03-29	2018.239726
092|Brazil|RJ|Duque-de-Caxias|2018-03-29	2018-03-29	2018.239726
NODE_0000054	2015-08-20	2015.633130
MK244636|Brazil|RJ|2016-05-02	2016-05-02	2016.334699
NODE_0000057	2015-09-30	2015.745612
MK244637|Brazil|RJ|2016-05-10	2016-05-10	2016.356557
MK244634|Brazil|RJ|2016-04-27	2016-04-27	2016.321038
NODE_0000058	2015-11-26	2015.903343
MK244633|Brazil|RJ|2016-05-06	2016-05-06	2016.345628
NODE_0000059	2016-01-27	2016.071340
MK244638|Brazil|RJ|Mesquita|2016-04-05	2016-04-05	2016.260929
MK244632|Brazil|RJ|2016-04-05	2016-04-05	2016.260929
NODE_0000053	2016-02-13	2016.118838
MK244640|Brazil|RJ|Sao-Goncalo|2017-03-07	2017-03-07	2017.179452
NODE_0000037	2016-11-26	2016.903519
NODE_0000107	2017-03-07	2017.179332
NODE_0000110	2017-03-25	2017.228611
057|Brazil|RJ|Duque-de-Caxias|2018-03-08	2018-03-08	2018.182192
NODE_0000050	2017-07-05	2017.509505
130|Brazil|RJ|Duque-de-Caxias|2018-04-19	2018-04-19	2018.297260
083|Brazil|RJ|Duque-de-Caxias|2018-03-27	2018-03-27	2018.234247
NODE_0000052	2017-10-27	2017.820285
099|Brazil|RJ|Duque-de-Caxias|2018-04-02	2018-04-02	2018.250685
120|Brazil|RJ|Duque-de-Caxias|2018-04-16	2018-04-16	2018.289041
NODE_0000039	2018-02-12	2018.116928
